St„davtalNr	Radnummer	Konto	Ansvar	Projekt	Anl	Verksamhet	Aktivitet	Motpart	Objekt/Frikod	MK	MS	Period	Periodiseringsnyckel	 Val.belopp 	Valuta	 Belopp 	Text	
1	1	6132	70322			5520	7600	180	8964			202501		 15 588 		 15 588 	F„laden st”dboende/akutboende	
1	2	3153	41612			9347	8032	170	8964			202501		-2 420 		-2 420 	F„laden st”dboende/akutboende	
1	3	3153	41612			9347	8035	170	8964			202501		-359 		-359 	F„laden st”dboende/akutboende	
1	4	3153	41632			9349	8036	170	8964			202501		-12 809 		-12 809 	F„laden st”dboende/akutboende	
2	5	6132	80350			3408	8105	180	8994			202501		 13 562 		 13 562 	Albanoskolan Idrottshall 	
2	6	3153	41623			9349	8036	180	8994			202501		-13 562 		-13 562 	Albanoskolan Idrottshall 	
3	7	6132	80350			3408	8105	180	8989			202501		 38 444 		 38 444 	Asmundtorp Idrottshall 	
3	8	3153	41621			9349	8036	180	8989			202501		-38 444 		-38 444 	Asmundtorp Idrottshall 	
4	9	6132	80350			3405	8105	180	6020			202501		 29 899 		 29 899 	BOIS Omkl.rum + L„ktarbadet	
4	10	3153	41621			9349	8036	180	8902			202501		-29 899 		-29 899 	BOIS Omkl.rum + L„ktarbadet	
4	11	6132	80350			3405	8105	180	6020			202501		 1 201 		 1 201 	BOIS Omkl.rum + L„ktarbadet	
4	12	3153	41621			9349	8032	180	8902			202501		-1 201 		-1 201 	BOIS Omkl.rum + L„ktarbadet	
5	13	6132	80350			3405	8105	180				202501		 1 821 		 1 821 	Borstahusen bod/fikarum/omkl„dningsrum	
5	14	3153	41621			9347	8036	180				202501		-1 821 		-1 821 	Borstahusen bod/fikarum/omkl„dningsrum	
5	15	6132	80350			3405	8105	180				202501		 151 		 151 	Borstahusen bod/fikarum/omkl„dningsrum	
5	16	3153	41612			9347	8032	180				202501		-151 		-151 	Borstahusen bod/fikarum/omkl„dningsrum	
5	17	6132	80350			3405	8105	180				202501		 26 		 26 	Borstahusen bod/fikarum/omkl„dningsrum	
5	18	3153	41612			9347	8035	180				202501		-26 		-26 	Borstahusen bod/fikarum/omkl„dningsrum	
6	19	6132	30525			5145	3111	180	0365			202501		 596 		 596 	Anh”rigcenter Kung Karl	
6	20	6132	30525			5145	3111	180	0365			202501		 1 638 		 1 638 	Anh”rigcenter Kung Karl	
6	21	6132	30525			5145	3111	180	0365			202501		 12 053 		 12 053 	Anh”rigcenter Kung Karl	
6	22	3153	41633			9349	8036	130	0365			202501		-12 053 		-12 053 	Anh”rigcenter Kung Karl	
6	23	3153	41612			9347	8032	130	0365			202501		-1 638 		-1 638 	Anh”rigcenter Kung Karl	
6	24	3153	41612			9347	8035	130	0365			202501		-596 		-596 	Anh”rigcenter Kung Karl	
7	25	6132	33204			5105	3111	180				202501		 25 633 		 25 633 	Artillerigatan	
7	26	3153	41633			9349	8036	130				202501		-25 633 		-25 633 	Artillerigatan	
7	27	6132	33205			5120	3111	180				202501		 1 536 		 1 536 	Artillerigatan 	
7	28	3153	41633			9349	8036	130				202501		-1 536 		-1 536 	Artillerigatan 	
8	29	6132	62200			3200	6211	180	6261			202501		 3 204 		 3 204 	Bibl.filial Glumsl”v 	
8	30	3153	41623			9349	8036	162	0103			202501		-3 204 		-3 204 	Bibl.filial Glumsl”v 	
9	31	6460	62200			3200	6211	180				202501		 148 		 148 	Biblioteket	
9	32	6460	62200			3200	6211	180				202501		 2 068 		 2 068 	Biblioteket	
9	33	6132	62200			3200	6211	180				202501		 43 503 		 43 503 	Biblioteket	
10	34	3153	41621			9349	8036	150	015610			202501		-25 794 		-25 794 	Bj”rkbacken 	
10	35	6132	59250			9180	8105	180	015610			202501		 25 794 		 25 794 	Bj”rkbacken 	
11	36	3153	41621			9349	8036	150	015611			202501		-14 409 		-14 409 	Bj”rkbacken omkl.rum	
